Code	St	Btl	Year	Lat	Lon	Bottom_Depth	Pres	CTDDEPTH	Tinsitu	Tpot	Sal	O2	SiO4	NO3	PO4	DIC	Alk
2010519	5	19	2010	31.0029	-22.002	5013	251.15	249.9	16.47	16.429003	36.295	183.65	2.5	7.720538	0.458148	2129.8	2373.4
2010518	5	18	2010	31.0029	-22.002	5013	350.4	348.5	15.26	15.205575	36.13	180.5	3.33	9.510538	0.588148	2143.1	2365.1
2010517	5	17	2010	31.0029	-22.002	5013	549.7	546.45	12.36	12.285361	35.675	169.7	6.255	15.735538	0.968148	2154.9	2339.8
2010516	5	16	2010	31.0029	-22.002	5013	848.75	843	9.605	9.505096	35.465	141	12.885	22.940538	1.463148	2185.5	2332.1
2010515	5	15	2010	31.0029	-22.002	5013	947.8	941	9.34	9.229589	35.53	149.7	12.6	21.970538	1.418148	-999	-999
2010514	5	14	2010	31.0029	-22.002	5013	998.5	991.3	8.85	8.736895	35.52	149.4	14.16	22.630538	1.448148	2193	2345.6
2010513	5	13	2010	31.0029	-22.002	5013	1198.3	1188.9	8.2	8.068319	35.56	163.3	14.64	21.640538	1.398148	2191.7	2349.1
2010512	5	12	2010	31.0029	-22.002	5013	1499.7	1482.6	6.72	6.5686	35.44	190.1	15.43	20.800538	1.368148	2188.2	2343.3
2010511	5	11	2010	31.0029	-22.002	5013	1800.6	1778.9	5.15	4.985777	35.22	215.9	15.62	20.290538	1.348148	2180.1	2328.7
2010510	5	10	2010	31.0029	-22.002	5013	2101.6	2074.9	4.17	3.989419	35.09	224	19.82	20.770538	1.398148	2177.5	2327.3
2010509	5	9	2010	31.0029	-22.002	5013	2402.7	2370.5	3.53	3.329909	35.02	227.4	24.41	21.240538	1.448148	2181.7	2325.6
2010508	5	8	2010	31.0029	-22.002	5013	2704	2665.9	3.09	2.867836	34.97	227.6	29.29	21.830538	1.488148	2184.6	2335.5
2010507	5	7	2010	31.0029	-22.002	5013	3006.4	2961.9	2.81	2.562619	34.95	225.5	34.36	22.510538	1.538148	2188.9	2340.1
2010506	5	6	2010	31.0029	-22.002	5013	3308.7	3257.4	2.65	2.374461	34.93	223	39.15	23.140538	1.578148	2193.8	2341.3
2010505	5	5	2010	31.0029	-22.002	5013	3611.5	3553	2.53	2.224583	34.92	224.7	41.59	23.410538	1.598148	2198.2	2342.6
2010504	5	4	2010	31.0029	-22.002	5013	3914.9	3848.6	2.46	2.122527	34.91	223.9	43.64	23.640538	1.618148	2197.3	2344.1
2010503	5	3	2010	31.0029	-22.002	5013	4319.7	4242.4	2.41	2.027019	34.9	224.7	45.68	23.830538	1.628148	2199.8	2347.9
2010502	5	2	2010	31.0029	-22.002	5013	4776.5	4685.9	2.42	1.981359	34.89	224.4	47.15	23.880538	1.638148	2203.7	2353.5
2010501	5	1	2010	31.0029	-22.002	5013	5131.5	5029.9	2.45	1.965519	34.89	224.8	47.34	23.880538	1.648148	2201.6	2349
2010609	6	9	2010	27.5154	-22.0053	4837	110.9	110.3	19.29	19.26983	36.77	200.9	0.89	2.150538	0.168148	-999	-999
2010608	6	8	2010	27.5154	-22.0053	4837	136.3	135.5	18.43	18.405986	36.64	191.8	1.18	2.680538	0.208148	-999	-999
2010607	6	7	2010	27.5154	-22.0053	4837	186.3	185.2	17.68	17.648084	36.54	182.3	1.57	5.730538	0.368148	-999	-999
2010606	6	6	2010	27.5154	-22.0053	4837	300.6	298.7	15.37	15.323154	36.13	178.8	3.04	9.710538	0.608148	-999	-999
2010605	6	5	2010	27.5154	-22.0053	4837	400.2	397.5	13.82	13.761801	35.89	176.5	4.11	12.450538	0.788148	-999	-999
2010604	6	4	2010	27.5154	-22.0053	4837	599.2	594.7	11.5	11.422159	35.59	142.4	8.3	19.930538	1.258148	-999	-999
2010603	6	3	2010	27.5154	-22.0053	4837	777.9	771.6	9.79	9.697769	35.43	129.9	12.5	23.900538	1.538148	-999	-999
2010602	6	2	2010	27.5154	-22.0053	4837	996.7	988	8.3	8.191276	35.37	137.6	15.91	25.180538	1.658148	-999	-999
2010601	6	1	2010	27.5154	-22.0053	4837	1196.5	1185.3	7.79	7.66222	35.47	156.4	16.01	23.190538	1.538148	-999	-999
2010722	7	22	2010	24.0022	-21.9974	4597	112.8	112.4	19.26	19.239534	36.54	120.2	3.23	12.750538	0.848148	-999	-999
2010721	7	21	2010	24.0022	-21.9974	4597	152.35	151.65	17.315	17.289339	36.26	85.8	5.23	18.265538	1.153148	2198.09	2353.58
2010720	7	20	2010	24.0022	-21.9974	4597	201.9	200.95	16.445	16.412143	36.19	94.4	5.52	17.765538	1.113148	-999	-999
2010719	7	19	2010	24.0022	-21.9974	4597	351.05	349.2	14.225	14.173042	35.92	115.2	6.155	18.245538	1.118148	2191.73	2347.4
2010718	7	18	2010	24.0022	-21.9974	4597	399.3	397.15	13.645	13.587438	35.845	125.6	6.305	18.130538	1.118148	2203.7	2351.13
2010717	7	17	2010	24.0022	-21.9974	4597	451.5	448.95	12.465	12.403621	35.63	85.05	9.475	24.750538	1.513148	-999	2332.17
2010716	7	16	2010	24.0022	-21.9974	4597	500.25	497.3	12.065	11.998276	35.615	108.9	8.985	22.700538	1.403148	2197.78	2330.18
2010715	7	15	2010	24.0022	-21.9974	4597	749.1	744.1	8.725	8.642322	35.19	84.55	17.82	31.325538	2.008148	2213.53	2314.36
2010714	7	14	2010	24.0022	-21.9974	4597	999.3	991.9	7.4	7.297804	35.18	120.9	19.82	28.660538	1.908148	2204.64	2318.35
2010713	7	13	2010	24.0022	-21.9974	4597	1199.4	1189.7	6.95	6.829566	35.27	145.6	19.43	25.890538	1.728148	2196.02	2324.51
2010712	7	12	2010	24.0022	-21.9974	4597	1500	1483.1	5.45	5.313083	35.18	177.8	21.38	24.270538	1.648148	2191.66	2311.49
2010711	7	11	2010	24.0022	-21.9974	4597	1750.3	1729.7	4.67	4.517425	35.12	191.4	24.8	23.670538	1.608148	2187.98	2327.13
2010710	7	10	2010	24.0022	-21.9974	4597	2000.3	1975.6	3.98	3.812489	35.05	202.3	27.43	23.460538	1.598148	2185.97	2327.17
2010709	7	9	2010	24.0022	-21.9974	4597	2251.4	2222.3	3.58	3.394172	35.01	208.9	29.58	23.280538	1.588148	2185.88	2325.93
2010708	7	8	2010	24.0022	-21.9974	4597	2502.9	2469.2	3.26	3.054815	34.99	213.4	32.12	23.160538	1.588148	2187.41	2321.21
2010707	7	7	2010	24.0022	-21.9974	4597	2754.1	2715.3	2.98	2.754967	34.96	214.9	35.34	23.390538	1.598148	2191.84	2328.99
2010706	7	6	2010	24.0022	-21.9974	4597	3006.1	2962	2.8	2.552914	34.94	218	37.88	23.390538	1.608148	2193.87	2331.6
2010705	7	5	2010	24.0022	-21.9974	4597	3257.3	3207.6	2.62	2.350639	34.93	220	41	23.630538	1.618148	2195.5	2327.49
2010704	7	4	2010	24.0022	-21.9974	4597	3509.6	3454	2.51	2.216296	34.91	219.9	43.34	23.870538	1.638148	2200.33	2349.46
2010703	7	3	2010	24.0022	-21.9974	4597	3843.3	3779.4	2.41	2.082038	34.9	222.9	45.98	23.940538	1.638148	2196.43	2331.72
2010702	7	2	2010	24.0022	-21.9974	4597	4177.1	4104.3	2.36	1.995296	34.89	224.1	47.15	24.000538	1.648148	2197.44	2335.02
2010701	7	1	2010	24.0022	-21.9974	4597	4673.1	4586.2	2.4	1.974762	34.89	224.2	48.22	23.980538	1.648148	2199.43	2348.25
2010809	8	9	2010	21.0015	-22.0035	4341	113.1	112.5	20.51	20.48852	36.89	161.6	1.67	5.120538	0.408148	-999	-999
2010808	8	8	2010	21.0015	-22.0035	4341	138.2	137.5	18.36	18.33573	36.53	119.9	3.52	12.810538	0.818148	-999	-999
2010807	8	7	2010	21.0015	-22.0035	4341	186.7	185.6	17.28	17.248536	36.42	123.3	3.81	13.280538	0.878148	-999	-999
2010806	8	6	2010	21.0015	-22.0035	4341	236.1	234.7	16.17	16.131966	36.24	124.3	4.5	14.470538	0.898148	-999	-999
2010805	8	5	2010	21.0015	-22.0035	4341	286.5	284.7	15.14	15.095845	36.05	114.1	5.57	17.070538	1.068148	-999	-999
2010804	8	4	2010	21.0015	-22.0035	4341	419.8	417	12.94	12.881558	35.72	102.4	7.91	21.870538	1.348148	-999	-999
2010803	8	3	2010	21.0015	-22.0035	4341	663.3	658.2	8.99	8.915863	35.19	72.5	17.57	32.250538	2.058148	-999	-999
2010802	8	2	2010	21.0015	-22.0035	4341	963.8	955.5	6.59	6.497651	35.02	115.4	22.16	30.880538	2.068148	-999	-999
2010801	8	1	2010	21.0015	-22.0035	4341	1197.3	1186.2	6.01	5.898369	35.11	149.9	20.99	27.110538	1.848148	-999	-999
2010935	9	35	2010	17.3525	-18.2538	3053	109.8	109.35	14.845	14.82844	35.67	40.45	7.96	26.965538	1.688148	2220.75	2322.32
2010934	9	34	2010	17.3525	-18.2538	3053	137.75	137.15	14.255	14.234781	35.595	44.6	8.405	26.450538	1.703148	-999	-999
2010933	9	33	2010	17.3525	-18.2538	3053	151	150.3	13.71	13.68841	35.53	43.4	8.99	28.070538	1.758148	2221.22	2275.2
2010932	9	32	2010	17.3525	-18.2538	3053	161.7	161	13.73	13.706849	35.53	43.9	8.89	28.030538	1.748148	-999	-999
2010931	9	31	2010	17.3525	-18.2538	3053	187.466667	186.5	13.37	13.343614	35.5	42.033333	9.57	28.163871	1.791481	-999	-999
2010930	9	30	2010	17.3525	-18.2538	3053	237.2	236	12.735	12.70262	35.465	36.25	10.4	29.350538	1.858148	-999	-999
2010929	9	29	2010	17.3525	-18.2538	3053	250.6	249.3	12.66	12.625901	35.48	32.6	10.55	30.550538	1.878148	2231.77	2251.8
2010928	9	28	2010	17.3525	-18.2538	3053	350.4	348.4	11.46	11.41517	35.35	21.8	12.79	33.820538	2.058148	2241.88	2297.76
2010927	9	27	2010	17.3525	-18.2538	3053	391.366667	389.1	11.023333	10.974417	35.303333	22.533333	13.67	33.917204	2.104815	-999	-999
2010926	9	26	2010	17.3525	-18.2538	3053	459.9	457	10.42	10.364367	35.24	26.2	15.13	35.360538	2.188148	2243.16	2304.59
2010925	9	25	2010	17.3525	-18.2538	3053	564.2	560.6	9.31	9.246025	35.12	33.8	17.67	36.650538	2.318148	2255.61	2241.29
2010924	9	24	2010	17.3525	-18.2538	3053	664.766667	660.4	8.4	8.328705	35.036667	48.633333	19.626667	36.397204	2.334815	2238.34	2273.9
2010923	9	23	2010	17.3525	-18.2538	3053	798.866667	793.233333	7.283333	7.203655	34.94	66	22.553333	36.553871	2.374815	2244.01	2287.71
2010922	9	22	2010	17.3525	-18.2538	3053	948	940.8	6.42	6.330641	34.9	85.3	24.51	35.450538	2.358148	2226.99	2264.75
2010921	9	21	2010	17.3525	-18.2538	3053	964.2	957	6.37	6.279353	34.91	89.2	24.8	34.190538	2.323148	-999	-999
